City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Tulum,MX,20.2167,-87.4667,84.92,67,100,4.65,overcast clouds
126,Nikolskoye,RU,59.7035,30.7861,53.4,53,39,10.31,scattered clouds
127,Ryotsu,JP,38.0833,138.4333,70.74,85,64,10.02,broken clouds
128,Inhambane,MZ,-23.865,35.3833,71.58,68,40,5.75,scattered clouds
129,Berbera,SO,10.4396,45.0143,89.04,70,4,7.96,clear sky
130,Dikson,RU,73.5069,80.5464,34.86,92,97,21.99,overcast clouds
131,Nokha,IN,27.6,73.4167,89.47,24,86,5.7,overcast clouds
132,Cabo San Lucas,MX,22.8909,-109.9124,93.51,55,1,1.01,clear sky
133,Verkhnevilyuysk,RU,63.4453,120.3167,31.62,98,100,6.58,light snow
134,San Quintin,MX,30.4833,-115.95,68.95,72,100,9.84,overcast clouds
135,Sarankhola,BD,22.3082,89.7897,78.76,92,9,3.6,clear sky
136,Iqaluit,CA,63.7506,-68.5145,42.53,65,75,8.99,broken clouds
137,Hamminkeln,DE,51.7333,6.5833,59.79,91,28,2.42,scattered clouds
138,Sola,VU,-13.8833,167.55,80.31,79,21,17.81,few clouds
139,Kholm-Zhirkovskiy,RU,55.5189,33.4731,39.51,64,2,4.99,clear sky
140,Diffa,NE,13.3154,12.6113,92.71,14,13,12.24,few clouds
141,College,US,64.8569,-147.8028,37.65,95,90,0.0,light rain
142,Batagay-Alyta,RU,67.8006,130.4114,24.13,67,100,5.3,overcast clouds
143,Georgiyevka,KZ,43.0369,74.7114,33.84,86,0,4.47,clear sky
144,Skibbereen,IE,51.55,-9.2667,60.6,97,100,16.2,light rain
145,Lebu,CL,-37.6167,-73.65,56.91,57,0,9.64,clear sky
146,Qaanaaq,GL,77.484,-69.3632,19.67,61,44,7.16,scattered clouds
147,Leningradskiy,RU,69.3833,178.4167,22.53,96,100,3.49,overcast clouds
148,Benguela,AO,-12.5763,13.4055,72.79,74,40,4.34,scattered clouds
149,Alice Springs,AU,-23.7,133.8833,63.95,77,0,6.91,clear sky
150,Vila,PT,42.0304,-8.1588,67.75,62,9,3.09,clear sky
151,Oranjemund,NA,-28.55,16.4333,58.69,86,26,7.76,scattered clouds
152,Makakilo City,US,21.3469,-158.0858,75.56,70,75,8.05,broken clouds
153,Adrar,MR,20.5022,-10.0711,102.4,6,62,13.44,broken clouds
154,Portland,US,45.5234,-122.6762,51.1,93,90,3.0,mist
155,Luxor,EG,25.6989,32.6421,84.25,28,0,4.61,clear sky
156,Pisco,PE,-13.7,-76.2167,68.05,73,0,14.97,clear sky
157,Numan,NG,9.4667,12.0333,86.45,55,22,3.58,few clouds
158,Broken Hill,AU,-31.95,141.4333,53.1,36,7,6.17,clear sky
159,Coruripe,BR,-10.1256,-36.1756,81.77,62,98,10.02,overcast clouds
160,Lagoa,PT,39.05,-27.9833,69.15,73,19,11.63,few clouds
161,La Ronge,CA,55.1001,-105.2842,48.42,57,20,10.36,few clouds
162,Clyde River,CA,70.4692,-68.5914,30.43,100,75,5.75,fog
163,Tuatapere,NZ,-46.1333,167.6833,46.81,91,99,3.04,light rain
164,Eskisehir,TR,39.7767,30.5206,53.47,62,0,1.14,clear sky
165,Viedma,AR,-40.8135,-62.9967,67.51,14,0,13.91,clear sky
166,Fortuna,US,40.5982,-124.1573,54.66,70,75,1.01,broken clouds
167,Margate,GB,51.3813,1.3862,63.7,84,100,1.01,overcast clouds
168,Londrina,BR,-23.3103,-51.1628,74.86,83,40,4.61,scattered clouds
169,Victoria,HK,22.2855,114.1577,78.78,95,100,1.01,light rain
170,Arman,RU,59.7,150.1667,26.96,61,22,5.35,few clouds
171,Ketchikan,US,55.3422,-131.6461,46.38,93,90,27.63,moderate rain
172,Ayan,RU,56.45,138.1667,39.38,53,100,3.96,overcast clouds
173,Soe,ID,-9.8607,124.284,64.71,85,52,3.74,broken clouds
174,Aklavik,CA,68.2191,-135.0107,29.12,86,8,4.63,clear sky
175,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,38,0,8.05,clear sky
176,Avarua,CK,-21.2078,-159.775,71.65,78,10,2.3,clear sky
177,Valpacos,PT,41.6075,-7.3109,73.74,32,0,1.97,clear sky
178,Loiza,PR,18.4313,-65.8802,89.58,70,40,13.8,haze
179,Kapaa,US,22.0752,-159.319,75.52,80,75,5.99,light rain
180,Newport,GB,51.5877,-2.9984,65.88,83,86,4.36,overcast clouds
181,Bodden Town,KY,19.2833,-81.25,91.4,69,40,10.0,scattered clouds
182,Sungaipenuh,ID,-2.0833,101.3833,64.8,96,100,1.14,overcast clouds
183,Codrington,AU,-38.2667,141.9667,43.65,94,99,8.5,overcast clouds
184,Polunochnoye,RU,60.8697,60.4153,40.73,77,56,8.57,broken clouds
185,Shihezi,CN,44.3,86.0333,39.47,76,100,8.99,overcast clouds
186,Hasaki,JP,35.7333,140.8333,70.29,80,96,15.86,overcast clouds
187,Lavrentiya,RU,65.5833,-171.0,35.42,94,100,1.99,overcast clouds
188,Lakselv,NO,70.0513,24.9718,39.02,60,40,16.11,scattered clouds
189,Ribeira Grande,PT,38.5167,-28.7,73.8,64,20,10.36,few clouds
190,Santa Maria,BR,-29.6842,-53.8069,63.7,55,0,11.5,clear sky
191,Kudahuvadhoo,MV,2.6708,72.8944,83.5,72,60,10.92,broken clouds
192,Maniitsoq,GL,65.4167,-52.9,36.52,54,20,2.28,few clouds
193,Abu Zabad,SD,12.35,29.25,84.36,26,40,5.23,scattered clouds
194,Belmonte,BR,-15.8631,-38.8828,82.9,61,2,10.27,clear sky
195,Iquitos,PE,-3.7481,-73.2472,86.04,70,75,8.05,broken clouds
196,Sitka,US,57.0531,-135.33,48.09,66,75,20.71,light rain
197,Maceio,BR,-9.6658,-35.7353,87.24,58,75,12.66,broken clouds
198,Noumea,NC,-22.2763,166.4572,57.18,74,18,8.08,few clouds
199,Chunoyar,RU,57.4467,97.3217,34.47,97,100,7.94,light rain
200,Tukrah,LY,32.5341,20.5791,75.15,63,0,7.45,clear sky
201,Urumqi,CN,43.801,87.6005,32.95,87,75,2.24,light snow
202,Fonte Boa,BR,-2.4959,-66.2662,89.49,58,100,4.59,overcast clouds
203,Road Town,VG,18.4167,-64.6167,89.64,66,40,9.22,scattered clouds
204,Port Hedland,AU,-20.3167,118.5667,68.05,94,0,4.61,clear sky
205,Necochea,AR,-38.5473,-58.7368,61.03,48,1,2.01,clear sky
206,Torbay,CA,47.6666,-52.7314,58.28,48,40,14.97,scattered clouds
207,Hovd,MN,48.0056,91.6419,30.09,32,0,4.23,clear sky
208,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,75,8.05,light intensity shower rain
209,Sao Filipe,CV,14.8961,-24.4956,80.15,78,19,8.99,few clouds
210,Tamandare,BR,-8.7597,-35.1047,81.39,67,97,8.48,overcast clouds
211,Severo-Yeniseyskiy,RU,60.3725,93.0408,31.44,98,100,5.73,light snow
212,Lompoc,US,34.6391,-120.4579,68.77,84,90,3.44,overcast clouds
213,Pevek,RU,69.7008,170.3133,25.23,80,100,10.27,overcast clouds
214,Kyzyl-Suu,KG,42.3414,78.0056,30.38,85,81,9.04,broken clouds
215,Tessalit,ML,20.1986,1.0114,98.15,9,2,11.86,clear sky
216,Smolenka,RU,52.1352,113.4974,23.07,86,62,0.0,broken clouds
217,Harper,LR,4.375,-7.7169,79.63,83,87,10.38,light rain
218,Aasiaat,GL,68.7098,-52.8699,18.81,78,39,7.52,scattered clouds
219,Khandbari,NP,27.3747,87.2039,69.35,94,44,1.39,scattered clouds
220,Rovaniemi,FI,66.5,25.7167,38.61,93,75,9.22,broken clouds
221,Padang,ID,-0.9492,100.3543,75.25,85,97,2.48,overcast clouds
222,Great Falls,US,47.5002,-111.3008,50.68,44,90,0.0,overcast clouds
223,Khombole,SN,14.7667,-16.7,88.61,43,55,13.29,broken clouds
224,Asfi,MA,32.2994,-9.2372,70.59,77,31,8.03,scattered clouds
225,Cabinda,AO,-5.55,12.2,78.94,83,75,4.61,broken clouds
226,Webuye,KE,0.6075,34.7697,62.35,91,50,3.0,moderate rain
227,Amapa,BR,1.0,-52.0,99.57,29,58,4.92,broken clouds
228,Monticello,US,45.3055,-93.7941,68.99,80,90,3.44,overcast clouds
229,Katsuura,JP,35.1333,140.3,73.18,80,94,15.08,overcast clouds
230,Ouadda,CF,8.0777,22.4007,76.57,74,47,1.99,scattered clouds
231,Kahului,US,20.8947,-156.47,78.84,72,1,10.36,clear sky
232,Bubaque,GW,11.2833,-15.8333,83.84,71,92,3.04,overcast clouds
233,Ternate,ID,0.8,127.4,81.37,80,62,8.52,broken clouds
234,Jaca,ES,42.569,-0.5499,66.4,79,28,3.31,scattered clouds
235,Ishigaki,JP,24.3448,124.1572,82.22,80,84,13.6,broken clouds
236,Dzaoudzi,YT,-12.7887,45.2699,78.69,78,20,8.05,few clouds
237,Gimli,CA,50.6336,-96.9907,72.05,64,2,17.27,clear sky
238,Purpe,RU,64.4803,76.6897,42.73,95,100,16.55,moderate rain
239,Baruun-Urt,MN,46.6806,113.2792,43.32,48,100,7.76,overcast clouds
240,Durango,MX,24.8333,-104.8333,71.83,40,2,5.66,clear sky
241,Hope,US,33.6671,-93.5916,84.25,46,0,6.6,clear sky
242,Pangnirtung,CA,66.1451,-65.7125,37.4,75,75,3.44,broken clouds
243,Nuuk,GL,64.1835,-51.7216,36.21,60,20,9.22,few clouds
244,Richards Bay,ZA,-28.783,32.0377,67.66,81,75,15.66,broken clouds
245,Kimbe,PG,-5.5502,150.1429,74.08,92,24,4.21,few clouds
246,Lake City,US,30.1897,-82.6393,86.99,83,40,0.0,scattered clouds
247,Muravlenko,RU,63.7898,74.523,42.55,91,100,18.28,light rain
