City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,Sangmelima,2.9333,11.9833,68.76,99,100,2.17,CM,2021-09-29 21:20:42
282,Pisco,-13.7,-76.2167,65.01,88,75,6.91,PE,2021-09-29 21:21:58
283,San Jeronimo,-11.9472,-75.2829,62.96,41,96,7.78,PE,2021-09-29 21:21:59
284,Sokoni,-6.4333,39.55,78.04,80,18,12.75,TZ,2021-09-29 21:21:59
285,Montepuez,-13.1256,38.9997,71.58,79,2,8.3,MZ,2021-09-29 21:21:59
286,Machachi,-0.5,-78.5667,58.75,73,99,2.37,EC,2021-09-29 21:22:00
287,Lashio,22.9333,97.75,66.27,99,41,0.94,MM,2021-09-29 21:22:00
288,Awbari,26.5921,12.7805,81.46,19,0,4.61,LY,2021-09-29 21:22:00
289,Naze,28.3667,129.4833,77.4,80,33,15.5,JP,2021-09-29 21:19:23
290,Gushikawa,26.3544,127.8686,80.19,78,1,9.22,JP,2021-09-29 21:22:01
291,Torbay,47.6666,-52.7314,64.89,93,20,4.61,CA,2021-09-29 21:18:28
292,Kryvyy Rih,47.9167,33.35,49.08,71,0,8.95,UA,2021-09-29 21:22:01
293,Watertown,42.3709,-71.1828,64.35,57,40,3.0,US,2021-09-29 21:22:01
